taskid,HIGH,LOW
11,3.0,3.53846153846
10,6.0,4.16666666667
13,4.0,3.92857142857
12,4.23076923077,2.76923076923
15,4.18181818182,5.75
14,4.72727272727,3.58333333333
17,4.90909090909,4.63636363636
16,4.57142857143,3.30769230769
19,6.0,8.91666666667
18,4.36363636364,4.38461538462
20,6.18181818182,5.66666666667
1,5.45454545455,6.33333333333
3,2.75,3.23076923077
2,3.0,5.69230769231
5,5.0,3.53846153846
4,4.91666666667,4.0
7,3.91666666667,3.91666666667
6,4.76923076923,4.38461538462
9,5.23076923077,6.23076923077
8,4.09090909091,4.30769230769
